No,Red,Green,Blue,Brightness
758,0.526,0.322,0.152,156
759,0.528,0.321,0.151,147
760,0.523,0.322,0.154,139
761,0.528,0.321,0.151,149
762,0.525,0.323,0.152,146
763,0.523,0.325,0.152,141
764,0.534,0.316,0.15,126
765,0.528,0.319,0.153,135
766,0.526,0.321,0.154,146
767,0.523,0.323,0.155,144
768,0.526,0.322,0.151,142
769,0.532,0.319,0.149,133
770,0.529,0.32,0.15,144
771,0.519,0.323,0.158,148
772,0.522,0.321,0.157,148
773,0.529,0.316,0.154,131
774,0.524,0.32,0.156,137
775,0.518,0.319,0.163,155
776,0.518,0.318,0.165,158
777,0.52,0.32,0.16,142
778,0.518,0.326,0.156,135
779,0.516,0.323,0.161,152
780,0.518,0.319,0.163,154
781,0.513,0.325,0.162,145
782,0.523,0.318,0.159,126
783,0.521,0.319,0.16,138
784,0.522,0.317,0.161,153
785,0.526,0.314,0.16,150
786,0.521,0.319,0.16,138
787,0.53,0.316,0.154,113
788,0.524,0.317,0.159,139
789,0.528,0.314,0.157,155
790,0.525,0.316,0.158,153
791,0.543,0.309,0.149,90
792,0.547,0.307,0.147,73
793,0.525,0.319,0.156,135
794,0.525,0.319,0.156,153
795,0.526,0.321,0.153,133
796,0.579,0.289,0.132,39
797,0.534,0.315,0.151,72
798,0.524,0.317,0.159,122
799,0.524,0.317,0.159,122
800,0.545,0.312,0.143,76
801,0.544,0.309,0.147,67
802,0.533,0.318,0.15,105
803,0.533,0.308,0.158,118
804,0.528,0.311,0.16,104
805,0.541,0.306,0.153,97
806,0.533,0.308,0.158,122
807,0.536,0.304,0.16,125
808,0.538,0.303,0.16,119
809,0.537,0.306,0.157,109
810,0.536,0.304,0.16,125
811,0.551,0.291,0.157,123
812,0.555,0.289,0.156,123
813,0.547,0.299,0.153,135
814,0.547,0.302,0.151,137
815,0.553,0.295,0.152,127
816,0.556,0.294,0.151,121
817,0.539,0.305,0.156,126
818,0.54,0.302,0.159,123
819,0.543,0.299,0.157,123
820,0.546,0.3,0.154,125
821,0.538,0.303,0.159,128
822,0.537,0.306,0.157,118
823,0.543,0.302,0.155,126
824,0.546,0.3,0.154,128
825,0.541,0.303,0.156,122
826,0.54,0.3,0.16,100
827,0.543,0.302,0.155,115
828,0.55,0.288,0.162,106
829,0.549,0.292,0.159,109
830,0.559,0.294,0.147,100
831,0.566,0.293,0.141,97
832,0.561,0.296,0.143,95
833,0.558,0.295,0.147,91
834,0.565,0.293,0.141,89
835,0.562,0.292,0.146,92
836,0.564,0.287,0.149,90
837,0.562,0.292,0.146,84
838,0.565,0.293,0.141,88
839,0.568,0.295,0.137,92
840,0.566,0.293,0.141,94
841,0.558,0.295,0.147,91
842,0.567,0.3,0.133,86
843,0.568,0.295,0.136,84
844,0.573,0.293,0.134,79
845,0.569,0.292,0.139,70
846,0.585,0.283,0.132,53
847,0.585,0.293,0.122,42
848,0.585,0.283,0.132,53
849,0.586,0.276,0.138,57
850,0.577,0.288,0.135,51
851,0.577,0.288,0.135,52
852,0.582,0.284,0.134,66
853,0.571,0.286,0.143,62
854,0.574,0.295,0.131,60
855,0.571,0.286,0.143,54
856,0.569,0.293,0.138,57
857,0.569,0.293,0.138,56
858,0.569,0.293,0.138,56
859,0.571,0.286,0.143,54
860,0.569,0.293,0.138,58
861,0.561,0.298,0.14,56
862,0.576,0.288,0.136,58
863,0.574,0.298,0.128,47
864,0.564,0.291,0.145,54
865,0.56,0.3,0.14,49
866,0.561,0.298,0.14,56
867,0.561,0.298,0.14,56
868,0.554,0.304,0.143,55
