No,Red,Green,Blue,Brightness
359,0.415,0.323,0.262,58
360,0.415,0.323,0.262,58
361,0.435,0.306,0.258,57
362,0.466,0.293,0.241,55
363,0.423,0.308,0.269,50
364,0.483,0.288,0.229,119
365,0.496,0.279,0.225,131
366,0.516,0.266,0.218,127
367,0.544,0.243,0.214,106
368,0.556,0.244,0.2,93
369,0.56,0.24,0.2,78
370,0.569,0.231,0.2,70
371,0.574,0.222,0.204,58
372,0.558,0.231,0.212,57
373,0.568,0.227,0.205,47
374,0.575,0.225,0.2,41
375,0.559,0.235,0.206,35
376,0.559,0.235,0.206,35
377,0.564,0.231,0.205,41
378,0.551,0.245,0.204,51
379,0.559,0.237,0.203,61
380,0.541,0.247,0.212,88
381,0.532,0.255,0.213,98
382,0.535,0.253,0.212,103
383,0.533,0.25,0.217,96
384,0.545,0.247,0.208,81
385,0.55,0.25,0.2,65
386,0.556,0.244,0.2,47
387,0.553,0.237,0.211,40
388,0.567,0.233,0.2,31
389,0.56,0.24,0.2,26
390,0.542,0.25,0.208,26
391,0.5,0.269,0.231,28
392,0.5,0.292,0.208,26
393,0.526,0.263,0.211,22
394,0.529,0.235,0.235,18
395,0.533,0.267,0.2,16
396,0.538,0.231,0.231,14
397,0.571,0.214,0.214,14
398,0.571,0.214,0.214,14
399,0.571,0.214,0.214,15
400,0.529,0.235,0.235,17
401,0.562,0.25,0.187,16
402,0.556,0.222,0.222,17
403,0.583,0.208,0.208,25
404,0.548,0.226,0.226,33
405,0.536,0.232,0.232,63
406,0.537,0.242,0.221,101
407,0.524,0.259,0.217,146
408,0.52,0.263,0.217,154
409,0.489,0.28,0.231,183
410,0.472,0.292,0.236,181
411,0.461,0.305,0.234,170
412,0.452,0.31,0.239,157
413,0.451,0.312,0.236,148
414,0.459,0.308,0.233,136
415,0.469,0.305,0.227,129
416,0.472,0.301,0.228,127
417,0.475,0.3,0.225,122
418,0.486,0.288,0.225,111
419,0.49,0.288,0.221,105
420,0.495,0.287,0.218,101
421,0.506,0.281,0.213,89
422,0.506,0.284,0.21,80
423,0.513,0.282,0.205,77
424,0.513,0.276,0.211,76
425,0.507,0.28,0.213,74
426,0.493,0.288,0.219,73
427,0.5,0.286,0.214,70
428,0.479,0.288,0.233,73
429,0.471,0.294,0.235,70
430,0.455,0.303,0.242,69
431,0.455,0.303,0.242,68
432,0.45,0.3,0.25,64
433,0.429,0.304,0.268,61
434,0.429,0.304,0.268,61
435,0.423,0.308,0.269,55
436,0.444,0.296,0.259,53
437,0.444,0.296,0.259,52
438,0.453,0.302,0.245,52
439,0.455,0.291,0.255,53
440,0.453,0.302,0.245,52
441,0.446,0.304,0.25,53
442,0.45,0.3,0.25,56
443,0.46,0.302,0.238,59
444,0.462,0.292,0.246,61
445,0.462,0.292,0.246,61
446,0.47,0.288,0.242,61
447,0.47,0.288,0.242,63
448,0.462,0.292,0.246,62
449,0.462,0.292,0.246,61
450,0.463,0.299,0.239,61
451,0.463,0.299,0.239,61
452,0.46,0.302,0.238,60
453,0.452,0.306,0.242,58
454,0.443,0.311,0.246,55
455,0.418,0.327,0.255,48
456,0.426,0.319,0.255,41
457,0.415,0.341,0.244,36
458,0.432,0.324,0.243,32
459,0.424,0.333,0.242,28
460,0.414,0.345,0.241,23
461,0.44,0.32,0.24,21
462,0.455,0.318,0.227,19
463,0.45,0.3,0.25,17
464,0.471,0.294,0.235,15
465,0.437,0.312,0.25,14
466,0.437,0.312,0.25,13
467,0.5,0.286,0.214,12
